,title,genre,budget,runtime,year,month,revenue
305,Extreme Ops,Action,40000000,93.0,2002,11,10959475
306,Bandidas,Action,35000000,93.0,2006,1,10496317
307,Supercross,Action,0,80.0,2005,8,3102550
308,The Peacemaker,Action,50000000,124.0,1997,9,0
309,Transformers: Age of Extinction,Science Fiction,210000000,165.0,2014,6,1091405097
310,Se7en,Crime,33000000,127.0,1995,9,327311859
311,King Kong,adventure,207000000,187.0,2005,12,550000000
312,Revolutionary Road,Drama,35000000,119.0,2008,12,75225693
313,The Wolfman,Drama,150000000,102.0,2010,2,0
314,Angels & Demons,Thriller,150000000,138.0,2009,5,356613439
315,Priest,Action,60000000,87.0,2011,5,78309131
316,Step Up 3D,Drama,30000000,107.0,2010,8,159291809
317,Harry Potter and the Half-Blood Prince,adventure,250000000,153.0,2009,7,933959197
318,Looper,Action,30000000,118.0,2012,9,47042000
319,The Untouchables,Crime,25000000,119.0,1987,6,76270454
320,The Good German,,32000000,108.0,2006,12,5914908
321,Olympus Has Fallen,Action,70000000,120.0,2013,3,161025640
322,2012,Action,200000000,158.0,2009,10,769653595
323,Hellboy,Fantasy,66000000,122.0,2004,4,99318987
324,The House Bunny,Romance,25000000,97.0,2008,8,70442940
325,Joy,Drama,60000000,124.0,2015,12,101134059
326,Gone Girl,,61000000,145.0,2014,10,369330363
327,That's My Boy,Comedy,70000000,116.0,2012,6,58058367
328,Waterworld,Adventure,175000000,135.0,1995,7,264218220
329,The NeverEnding Story,Drama,27000000,102.0,1984,4,20158808
330,The Constant Gardener,Drama,25000000,129.0,2005,8,82466670
331,The Good Thief,Crime,0,108.0,2003,4,0
332,Oceans,,0,84.0,2009,10,19406406
333,The Pirates! In an Adventure with Scientists!,Animation,60000000,88.0,2012,3,118338361
334,Maleficent,Fantasy,180000000,97.0,2014,5,758539785
335,Donnie Brasco,Crime,35000000,127.0,1997,2,41954997
336,Fever Pitch,Comedy,30000000,103.0,2005,4,50451307
337,The 13th Warrior,Adventure,160000000,102.0,1999,8,61698899
338,The Last Shot,Action,0,90.0,2004,9,0
339,Hanging Up,Comedy,40000000,94.0,2000,2,36037909
340,Lions for Lambs,Action,35000000,92.0,2007,10,63215872
341,Transformers,Adventure,150000000,144.0,2007,6,709709780
342,Enemy at the Gates,,68000000,131.0,2001,3,96976270
343,Jason Bourne,Action,120000000,123.0,2016,7,415484914
344,"Big Mommas: Like Father, Like Son",Crime,32000000,107.0,2011,2,83615414
345,The Merchant of Venice,Drama,0,138.0,2004,9,0
346,Gattaca,Thriller,36000000,106.0,1997,9,12532777
347,The Dukes of Hazzard,Action,50000000,104.0,2005,8,110803676
348,Night at the Museum: Battle of the Smithsonian,Adventure,150000000,105.0,2009,5,413106170
349,Southpaw,Action,30000000,123.0,2015,6,91709827
350,Foodfight!,Animation,65000000,87.0,2012,6,73706
351,After the Sunset,Action,60000000,97.0,2004,11,61347797
352,Hercules,Action,100000000,99.0,2014,7,243400000
353,Goal!: The Dream Begins,Drama,30000000,118.0,2005,6,27610873
354,Around the World in 80 Days,Action,110000000,120.0,2004,6,72178895
355,Captain America: The First Avenger,Action,140000000,124.0,2011,7,370569774
356,On Deadly Ground,Action,50000000,102.0,1994,2,49000000
357,Happy Feet,Animation,100000000,108.0,2006,11,384335608
358,Executive Decision,Action,55000000,133.0,1996,3,121969216
359,Savva. Heart of the Warrior,Fantasy,30000000,85.0,2015,11,0
360,A Turtle's Tale: Sammy's Adventures,Animation,0,88.0,2010,8,0
361,Radio,Drama,32000000,109.0,2003,10,52277485
362,A League of Their Own,Comedy,40000000,128.0,1992,7,107458785
363,The Life of David Gale,Drama,50000000,130.0,2003,2,38955598
364,Flipper,Adventure,25530000,95.0,1996,5,20080020
365,Repo Men,Action,32000000,111.0,2010,3,18409891
366,The Girl with the Dragon Tattoo,Thriller,90000000,158.0,2011,12,232617430
367,Proof of Life,Action,65000000,135.0,2000,12,0
368,Flight,Drama,31000000,138.0,2012,11,161772375
369,Goosebumps,Adventure,58000000,103.0,2015,8,158162788
370,Night at the Museum: Secret of the Tomb,Adventure,127000000,97.0,2014,12,349424282
371,Star Wars: Episode III - Revenge of the Sith,Science Fiction,113000000,140.0,2005,5,850000000
372,The Last Stand,Action,30000000,107.0,2013,1,0
373,Changeling,Crime,55000000,141.0,2008,1,113020255
374,Gigli,Drama,54000000,121.0,2003,8,7266209
375,The Haunted Mansion,Thriller,90000000,99.0,2003,11,182290266
376,Ray,Drama,40000000,152.0,2004,10,124731534
377,Mirrors,Horror,35000000,110.0,2008,8,72436439
378,Madagascar: Escape 2 Africa,,150000000,89.0,2008,10,603900354
379,Lone Survivor,Action,40000000,121.0,2013,12,149295601
380,Amélie,Comedy,10000000,122.0,2001,4,173921954
381,Cirque du Freak: The Vampire's Assistant,Adventure,40000000,109.0,2009,10,28169671
382,Stuart Little 2,,120000000,78.0,2002,7,169956806
383,The Interpreter,Crime,80000000,128.0,2005,4,162944923
384,Blindness,Drama,25000000,121.0,2008,5,19844979
385,The Great Raid,Action,80000000,132.0,2005,8,10166502
386,Rent,Drama,40000000,135.0,2005,11,31670620
387,The BFG,Adventure,140000000,120.0,2016,6,183345589
388,How to Lose a Guy in 10 Days,Comedy,50000000,116.0,2003,2,177371441
389,Martian Child,Drama,0,106.0,2007,11,0
390,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Science Fiction,25000000,88.0,1991,3,78000000
391,Jurassic Park III,Adventure,93000000,92.0,2001,7,368780809
392,2 Guns,Action,61000000,109.0,2013,8,131940411
393,The Patriot,Drama,110000000,165.0,2000,6,215294342
394,xXx,Action,70000000,124.0,2002,8,277448382
395,Cutthroat Island,Action,98000000,119.0,1995,12,10017322
396,The Bad News Bears,Comedy,35000000,102.0,1976,4,35323292
397,Spanglish,Comedy,80000000,130.0,2004,12,55041367
398,Once Upon a Time in Mexico,Action,29000000,102.0,2003,9,98185582
399,Something Borrowed,Comedy,35000000,112.0,2011,5,59901913
400,Sheena,Action,25000000,117.0,1984,8,5778353
401,Scooby-Doo 2: Monsters Unleashed,,0,93.0,2004,3,181466833
402,Someone Like You...,Comedy,23000000,97.0,2001,3,0
403,Rio 2,Animation,103000000,102.0,2014,3,500188435
404,Kung Fu Panda,Adventure,130000000,90.0,2008,6,631744560
405,Die Hard: With a Vengeance,Action,90000000,128.0,1995,5,366101666
406,Wanderlust,Comedy,35000000,98.0,2012,2,24159934
407,The Karate Kid,Drama,8000000,126.0,1984,6,90815558
408,Resident Evil: Apocalypse,Horror,45000000,94.0,2004,9,129394835
